external_gene_name,siRNAaRNF4_untreated_1,siRNAaRNF4_7d_of_osteogenesis_1,scrambled_untreated_1,scrambled_7d_of_osteogenesis_1,siRNAaRNF4_untreated_2,siRNAaRNF4_7d_of_osteogenesis_2,scrambled_untreated_2,scrambled_7d_of_osteogenesis_2,siRNAaRNF4_untreated_4,siRNAaRNF4_7d_of_osteogenesis_4,scrambled_untreated_4,scrambled_7d_of_osteogenesis_4
DOCK9,201.3715695,267.9565357,749.8400014,792.862411,205.4708418,254.1198538,619.9067438,471.1067612,191.0416586,235.9405694,571.5126422,833.1885369
ANKRD10,1550.456747,1557.797494,1700.790003,1207.110749,1305.85971,1352.505668,505.0388785,459.717367,1108.704192,973.1364048,1065.385831,879.4767889
TGDS,226.4125936,261.2336119,240.2400005,334.9620972,265.8461603,307.6740379,312.3266749,227.7878846,407.4819192,461.4580615,379.5706605,333.8663286
DOCK3,99.12072072,95.08135137,121.0300002,43.65197544,120.7506369,94.50738364,45.56741761,21.74338898,73.98723195,76.7517515,51.75963552,49.24282133
C3orf18,507.0807397,567.6068552,551.460001,309.1272546,493.7142977,578.5952043,501.2415937,463.8589649,489.1991605,640.5454816,432.4086218,410.6851299
COQ9,775.2283736,741.4424572,614.2500012,674.3784777,799.4860717,831.6649761,639.842489,1005.37289,780.7309401,868.9056311,705.225034,618.4898359
TMEM40,4.17350403,1.920835381,0.0,0.0,1.947590918,0.0,0.9493212,0.0,1.104287044,0.947552488,1.07832574,0.0
KIF9,55.2989284,41.2979607,60.06000011,45.43368872,44.79459111,54.60426611,84.48958682,90.07975434,48.58862994,34.11188955,93.81433938,71.89451914
ARHGAP28,453.8685633,277.5607126,838.1100016,138.9736361,448.9197065,269.8710844,144.2968224,35.20358216,419.6290767,396.0769398,239.3883143,63.0308113
CRLS1,930.6913988,1000.755234,901.8100017,1065.464543,991.3237771,1049.031958,1060.391781,1682.524147,1063.428423,1175.912637,1188.314966,1193.645989
PPP1R13B,67.81944049,69.15007373,97.37000018,102.4485138,64.27050029,68.25533263,116.7665076,122.1771381,88.34296352,107.0734311,135.8690432,96.51592981
ATRN,4193.328175,3557.387126,3496.220007,2611.100816,4255.486155,4416.645062,2692.274924,2108.073332,4233.836527,4587.101593,3365.454635,3198.813674
SMOX,1015.204855,798.1071009,464.1000009,1260.562148,881.2848903,757.1091512,278.1511117,544.620124,994.9626267,518.3112107,431.330296,435.3065406
SIGLEC1,0.0,0.960417691,0.910000002,0.0,0.0,0.0,0.0,1.035399475,0.0,0.0,0.0,0.0
FKBP1A,5215.836662,6240.794154,4989.530009,5978.538921,7988.044149,10016.73258,10878.27163,13675.55627,14831.67929,14244.55655,11254.48575,12642.60195
NSFL1C,1746.611437,1552.034988,1633.450003,1806.657269,1873.582463,1787.239633,2095.151889,3016.118671,2588.448831,2301.604992,2107.048496,1803.272117
SLC4A11,43.82179232,58.58547913,30.94000006,57.9056817,36.03043198,57.75451223,15.1891392,33.13278321,81.71724126,71.06643657,18.33153758,25.60626709
C20orf194,898.3467425,1182.274177,994.6300019,1030.721134,848.1758447,1146.689588,1080.327526,1017.797684,1035.821247,1290.566488,1203.411526,1229.10082
ZNF343,197.1980654,199.7668797,258.4400005,267.2569925,212.28741,186.9146032,200.3067733,180.1595087,261.7160294,216.0419672,211.351845,205.8349932
EBF4,46.95192034,30.7333661,58.24000011,22.27141604,48.68977294,16.80131265,7.594569602,18.63719055,4.417148176,1.895104975,6.46995444,4.924282133
CPXM1,4.17350403,1.920835381,19.11000004,3.563426566,4.868977294,4.200328162,0.9493212,1.035399475,2.208574088,0.947552488,5.3916287,3.939425706
MAVS,3970.045709,4385.267175,3375.190006,3366.547248,4158.106609,4660.264096,3753.616026,4019.420763,5021.193189,5322.402323,3642.58435,3393.815246
LZTS3,564.4664201,526.3088945,272.0900005,268.1478491,611.5435482,542.8924149,268.6578997,288.8764536,515.7020496,343.961553,188.7070045,165.4558797
